index,product,name,mrp_now,price_now,star1,star2,star3,star4,star5,mrp_then,price_then
59,facemasks,one8 Select Shield Reusable & Washable Outdoor 4-Layered 3D Mesh Face Mask – Pack of 3 (Assorted)/ Made in India/Standard Size/CE Certified,499.0,399.0,49.0,0.0,0.0,0.0,49.0,,
60,facemasks,DR VAKU® N95 Face Mask Anti-Dust Breathable Protective Mask with 5- Layer Filter for Adults Men Women 5 Layer Protection Face Mask (Pack of 1),499.0,37.0,45.0,0.0,27.0,27.0,45.0,,
61,facemasks,"Cute Critters Skull Face Mask Bandana, Motorcycle Face Mask for Men Women, Skeleton Half Face Mask Sun UV Dust Wind Protection Breathable Rave Face Scarf Neck Gaiter for Biker Riding (Set of 2)",609.0,279.0,0.0,0.0,0.0,0.0,0.0,,
62,facemasks,Gadgets Appliances Filter Face Mask Random Color will be shipped Pack Of 2,499.0,211.0,0.0,0.0,18.0,18.0,0.0,,
63,facemasks,India Store Mart Unisex Reusable 2 layer Black Outdoor Face Mask-Pack of 3,199.0,99.0,0.0,0.0,0.0,0.0,0.0,,
64,facemasks,"Gadgets Appliances Safety Mask KN95 Disposable Mask, Anti Dust Face Mask White (Pack of 3)",499.0,199.0,0.0,0.0,0.0,0.0,0.0,,
65,ppe,MFASCO Biohazard PPE Kit Disposable,780.0,253.0,30.0,13.0,20.0,18.0,30.0,,
66,ppe,"NJ Washable PPE Kit, 100% water-repellent PPE Kit, Face shield 12x9 Inches, Washable mask, Disposable gloves,Goggle, Suitable for daily use (BLUE): 6 Items",2000.0,296.0,0.0,0.0,0.0,0.0,0.0,,
67,ppe,DALUCI PPE Safety Kit for Body Protection Cotton Polyester Blend Material - 90 GSM,999.0,449.0,0.0,0.0,0.0,0.0,0.0,,
68,ppe,"VOUCH Blue Medical PPE KIT with Disposable Hooded Full Body Coverall, Latex Gloves, Shoe Cover, Face Mask, Face Shield",789.0,364.0,0.0,0.0,0.0,0.0,0.0,,
69,ppe,Full Body PPE suit with shoes cover upto knees and 3 ply mask with nose pin included (Washable) (Medical Blue color) / Classic Eco Products,2000.0,130.0,0.0,0.0,0.0,0.0,0.0,,
70,ppe,"Tychem Chemical Suit (Yellow, Standard Size)",1800.0,1399.0,0.0,0.0,0.0,0.0,0.0,,
71,ppe,AONE RANK PPE Safety Kit for Full Body Protection- Non-Suffocating+Comfortable For Travelling- 95 GSM- Polyproplyene material White (1 Pc),999.0,289.0,0.0,0.0,0.0,0.0,0.0,,
72,ppe,"VOUCH & CE Certified Laminated Seam Taping PPE KIT with Full Body Coverall, Latex Gloves, Shoe Cover, Face Mask, Face Shield, Complete PPE Safety KIT, Washable & Reusable (Single) Grey",899.0,499.0,0.0,0.0,0.0,0.0,0.0,,
73,ppe,NIASHI PPE kit Personal Protection,699.0,399.0,0.0,0.0,0.0,0.0,0.0,,
74,ppe,Drumstone Personal Protective Equipment kit/PPE kit/Set of 1,1499.0,549.0,0.0,0.0,0.0,0.0,0.0,,
75,ppe,"NORTH BLACK SITRA Certified Medical PPE Kit | Full Body Coverall, Hood Cap, Gloves, Shoe Cover, Face Mask & Shield | Extra protection Taping | Comfortable & Disposable | Airport Use | 90 gsm Free Size",699.0,599.0,0.0,0.0,0.0,0.0,0.0,,
76,ppe,ARMOUR PPE Safety Kit for Full Body Protection- Non-Suffocating+Comfortable For Travelling- 90 GSM- Polyproplyene material White (1 Pc) (Laminated),1000.0,499.0,0.0,0.0,0.0,0.0,0.0,,
77,ppe,"Go Klean Full Body Protection PPE Kit for Kids and Minors/Small PPE kit suitable for Travelling, Hospital, School Safety Jacket (whiteblue) (9yr-12yr (L:52.5, C:52inch))",424.0,324.0,0.0,0.0,0.0,0.0,0.0,,
78,ppe,Dyno Personal Protective Equipment kit/PPE kit/Set of 5,3999.0,2479.0,0.0,0.0,0.0,0.0,0.0,,
79,ppe,Ideal Clean Hands Safe Key PPE Hands Free Hygiene Hand No Touch Multi Purpose Every Day Carry Tool (Pack Of 1),399.0,210.0,0.0,0.0,0.0,0.0,0.0,,
80,ppekits,PPE Kit Reusable and Washable DRDO SITRA Approved for Men and Women Including Hood Foot Covers 3 Ply Mask Safety Face Shield Suited for Travel Hospital Work Airport Staff,999.0,799.0,0.0,0.0,0.0,0.0,0.0,,
81,ppekits,"NJ Washable Reusable PPE Safety Coverall with Shoe covers for KIDS 4-8 Year (GREEN), PPE Coverall for Kids, PPE Kit, best for travelling by Car, Train and Flight, FREE Black Face Mask: 1 Pc",2999.0,1599.0,0.0,0.0,0.0,0.0,0.0,,
82,ppekits,Medsor Impex Disposable Patient Gown,195.0,135.0,0.0,0.0,0.0,0.0,0.0,,
83,handwash,"Lifebuoy Total 10 Active Silver Formula-Germ Protection Handwash Refill, 1.5 L",199.0,189.0,0.0,0.0,0.0,0.0,0.0,,
84,facemasks,Marcloire Reusable & Washable 5-Layered Outdoor Protection Face Mask with Improved Ear Loops for Men/Women (Multi-Color),0.0,299.0,0.0,0.0,0.0,0.0,0.0,,
85,facemasks,"GIORDANO Cotton Anti Pollution 6 Layer Reusable Outdoor Face Mask (Black, Blue, Maroon and Grey) - Pack of 4",0.0,599.0,0.0,0.0,0.0,0.0,0.0,,
86,facemasks,Generic Unisex Headwear Headband Head Wrap UV Resistence Sports Bandana Magic Scarf Face Mask (Assorted Color and Design) Pack of 10,999.0,250.0,0.0,0.0,0.0,0.0,0.0,,
87,facemasks,"OCEAN RACE Cotton Anti Pollution 3 Layer Reusable Face Mask-Olive,Black,Grey,Red,Navy,Yellow, Pack of (6)",799.0,0.0,0.0,0.0,0.0,0.0,0.0,,
88,facemasks,Big Tree® Pro Bike Riding & Cycling Anti Pollution Dust Sun Protecion Half Face Cover Mask (Black)(Pack of 2),399.0,99.0,27.0,9.0,16.0,21.0,27.0,,
89,facemasks,Big Tree® Pro Bike Riding & Cycling Anti Pollution Dust Sun Protecion Half Face Cover Mask (Black),999.0,214.0,0.0,0.0,0.0,0.0,0.0,,
90,facemasks,YAPZONE FCB barcelona logo printe face mask for soccer lover,299.0,139.0,0.0,0.0,0.0,0.0,0.0,,
91,facemasks,"MAULION™ N95 (Pack of 5 Pieces) Reusable Mask Reusable Mouth Nose Face Mask, Anti-Pollution Driving Protection, Air Purifying Free Size (Pack of 5)",999.0,399.0,0.0,0.0,0.0,0.0,0.0,,
92,facemasks,"Gajraj Unisex Cotton Balaclava Anti Pollution Face Mask, Helmet Liner (Classic Grey)",499.0,249.0,0.0,0.0,0.0,0.0,0.0,,
93,facemasks,OROMASK | Cotton | Washable | 4 Layer | ISO & CE Certified | Half Face Mask - Pack of 3,300.0,0.0,0.0,0.0,0.0,0.0,0.0,,
94,facemasks,RSM 3 Layer Non-Woven Disposable Medical Face Mask Without Nose-Pin (Pack of 100),499.0,349.0,0.0,0.0,0.0,0.0,0.0,,
95,facemasks,BISMAADH Men's Polyester Bandana Bikers Motorcycle Riding Neck Face Mask Protection Tube Head (Black),299.0,149.0,0.0,0.0,0.0,0.0,0.0,,
96,facemasks,"Garnier Skin Naturals, Light Complete, Face Serum Sheet Mask (Yellow), 30g",0.0,99.0,0.0,0.0,0.0,0.0,0.0,,
97,facemasks,UrbanGabru CharCoal Peel Off Mask | Deep skin cleansing Mask 60gm,350.0,210.0,0.0,0.0,0.0,0.0,0.0,,
98,facemasks,"M/S TRYITON Unisex Headwear Headband Head Wrap UV Resistence Sports Bandana Magic Scarf Face Mask (Free Size,Multicolour) Pack of 5",399.0,195.0,0.0,0.0,0.0,0.0,0.0,,
99,facemasks,Marcloire - Made in India Standard Size ISO CE Certified Reusable & Washable 5-Layered Outdoor Protection Face Mask with Head Loops/Straps for Men/Women-Steel Blue (Pack of 3),499.0,299.0,0.0,0.0,0.0,0.0,0.0,,
100,facemasks,Marcloire Standard Size Adult ISO CE certified Reusable/Washable 6-Layered Outdoor Protection Face Mask with Improved Ear Loops for Men/Women(Pack of 3) (Multi-Color),599.0,349.0,0.0,0.0,0.0,0.0,0.0,,
101,facemasks,Godrej Protekt P-W95 Reusable Face Mask | for Men & Women | 6 Layer Germ Shield Technology | Design: Navy | Size: LARGE,240.0,220.0,22.0,8.0,13.0,12.0,22.0,,
102,facemasks,Shocknshop Cotton Multicolor Printed Reusable And Washable Face Mask - Pack of 3,899.0,299.0,71.0,0.0,0.0,14.0,71.0,,
103,facemasks,"Steelbird SBA-2 7Wings Unisex Helmet Visor Face Shield, Flip-Up Full Face Protector,Face Mask For Each and Everyone (Pack-2)",998.0,0.0,45.0,6.0,9.0,25.0,45.0,,
104,facemasks,"H-Store Unisex Lycra Face Mask (hstoreblueredmask, Black)",399.0,199.0,43.0,6.0,15.0,27.0,43.0,,
105,facemasks,La' Forte Fabric Blue Anti-Dust Disposable 3-Layer Protective Face Mask with Elastic Ear Loop-100 Pieces,999.0,440.0,30.0,8.0,15.0,19.0,30.0,,
106,facemasks,"The Face Shop Unisex Glowing Masksheet Combo, 100 g (Pack of 5)",500.0,425.0,58.0,4.0,11.0,22.0,58.0,,
107,facemasks,YAPZONE Manchester United red coloured printed face mask for fifa lover,299.0,139.0,0.0,0.0,0.0,50.0,0.0,,
108,facemasks,"Blacksmith Face Mask Pro with Mobile Holder for Bike, Ski, Cycling, Running, Hiking - Protects from Wind, Sun, Dust - 4 Way Stretch - #1 Rated Face Protection Mask Balaclava (Mint)",799.0,299.0,0.0,0.0,0.0,0.0,0.0,,
109,facemasks,"UREVO Mask-3ply Disposable Face Masks Pack, Surgical mask 3 layer,BacterialFiltration Effiency(BFE) 95%,Particle Filtration Effiency(PEE) 93.6%, CE & ISO & SITRA Certified (Blue, Pack of50,Sealed box packing)",800.0,599.0,52.0,3.0,8.0,24.0,52.0,,
110,facemasks,AM Safe x Disposable 3 Ply Surgical Face Mask (Blue) -100 Pieces,999.0,139.0,17.0,8.0,8.0,10.0,17.0,,
111,facemasks,My Fav Fabric Cartoon Print Face Mask for Kids (5-10 Years) -Combo of 5 Pieces,500.0,281.0,30.0,25.0,16.0,7.0,30.0,,
112,facemasks,Urban King® KN-95 Face Mask Respirator Anti-Dust Breathable Mask with Filter for Adults men Women 5 layer protection Face Mask(Random color),199.0,35.0,20.0,11.0,9.0,25.0,20.0,,
113,facemasks,"Mamaearth Ubtan Face Pack Mask for Fairness, Tanning & Glowing Skin with Saffron, Turmeric & Apricot Oil, 100 ml",0.0,0.0,51.0,5.0,10.0,25.0,51.0,,
114,facemasks,Cotson 5 Layers Antibacterial KN95 Safety Mask With Air Filter-(Pack of 3),699.0,123.0,24.0,12.0,15.0,15.0,24.0,,
115,facemasks,AMMINO India Anti Pollution Dustproof/Block Print Reusable Washable 2 Ply Cotton Face Mask for Men and Women -Pack of 5,329.0,239.0,0.0,0.0,0.0,0.0,0.0,,
116,facemasks,BUYBACK® 6 pc Bandana Bikers Motorcycle Riding Neck Face Mask Protection Tube Head Bands,499.0,0.0,24.0,8.0,17.0,17.0,24.0,,
117,facemasks,"Difiden KN95 High Filtration Capacity 4 Layer Face Mask, Anti Pollution pack of 5",999.0,249.0,0.0,0.0,0.0,0.0,0.0,,
118,facemasks,Vocado Bike Riding and Cycling Anti Pollution Dust Sun Protecion Half Ninja Face Cover Mask (Black),199.0,44.0,28.0,9.0,13.0,15.0,28.0,,
119,facemasks,DIVERSE Men's cotton Cloth Face Mask (Pack of 3) (DCURM01FP03L34-52_Multicolor_Free Size),297.0,219.0,46.0,18.0,0.0,32.0,46.0,,
120,facemasks,"Romsons Flexi Mask SH-2020S Oxygen Face mask with 2 m Long Star Multi Channel Tube, Size - Adult by Romsons",250.0,155.0,43.0,0.0,21.0,29.0,43.0,,
121,facemasks,Genie CARE PRO Women's 6-Layer Reusable Face mask (Pack of 3),500.0,372.0,27.0,0.0,23.0,43.0,27.0,,
122,facemasks,"FASTEN Surgical Disposable Face Mask, Blue, Standard Size -100 Pieces",449.0,183.0,22.0,7.0,18.0,9.0,22.0,,
123,facemasks,HACER HC0001 3 Ply Non Surgical Disposable Face Mask 25 GSM Unisex Nose Mouth Protection Cover with Non-woven Fabric for Women & Men (25 Pcs),0.0,85.0,30.0,9.0,15.0,21.0,30.0,,
124,facemasks,"Biroller Combo of 1 Piece Goggle O2 ORAWM01 Washable Face Mask Airmesh Reusable Nose Mouth Breathable Cover for Home, Office & Riding (1 PC)",0.0,219.0,0.0,0.0,0.0,0.0,0.0,,
125,facemasks,Evaluemart® 6 pc Bandana Bikers Motorcycle Riding Neck Face Mask Protection Tube Head Bands (Color May Vary),399.0,299.0,0.0,0.0,0.0,0.0,0.0,,
126,facemasks,"FabSeasons Camouflage Polyester Multi Functional Pollution & Face Mask, Balaclava, Neck Warmer Ninja Mask, Cap and Bandana, Ideal for all Seasons(Get a Bandana Free with every Purchase, Refer Pictures)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
