url,product,id,name,mrp,discounted,star1,star2,star3,star4,star5
https://www.amazon.in/Kaya-Youth-Oxy-Infusion-Face-Brightening/dp/B07WS98Q3B,facemasks,B07WS98Q3B,"Kaya Youth Oxygen Boost Brightening Face Mask,15 min Instant Home Facial Mask,Reduce Dullness,Brighten Skin Tone,Glowing Skin,Developed by Dermatologists, 1 pc", ₹ 125.00,₹ 94.00,4,11,24,23,39
https://www.amazon.in/Gear-Standard-Safeguard-certified-Filtration/dp/B087XLKLQY,facemasks,B087XLKLQY,F Gear Standard Size Mask for Adult Color Black F95 Safeguard 7 layer ISO CE SITRA lab certified >95% Bacteria Filtration Face Mask pack of 3 (3450), ₹ 399.00,₹ 300.00,17,8,15,25,35
https://www.amazon.in//Shocknshop-Multicolor-Bohemian-Reusable-Washable/dp/B08DCPP3VR?dchild=1,facemasks,B08DCPP3VR,Shocknshop Cotton Multicolor Crystal Bohemian Mandala Printed Reusable And Washable Face Mask - Pack of 3, ₹ 899.00,₹ 299.00,0,0,0,0,0
https://www.amazon.in/Boldfit-Pollution-protective-manufacturer-Ministry/dp/B08BFXSM4B,facemasks,B08BFXSM4B,"Boldfit N95 mask for face (Pack of 5) Anti Pollution, protective. Third Party Tested by manufacturer at SGS & Ministry of Textiles", ₹ 750.00,₹ 599.00,17,6,7,16,54
https://www.amazon.in//Generic-unbranded-Neoprene-Riding-Black/dp/B00MYYFMP8?dchild=1,facemasks,B00MYYFMP8,Generic (unbranded) Neoprene Half Face Bike Riding Mask (Black), ₹ 299.00,₹ 79.00,27,12,18,17,27
https://www.amazon.in//Lionsmill-Anti-Pollution-polyester-Multicolor-cartoon/dp/B089CZ1VGM?dchild=1,facemasks,B089CZ1VGM,"Lionsmill New Anti-Pollution Dust polyester face Mask For kids Boys Girls Unisex (Set Of 3) Multicolor cartoon masks (peppa pig, kids size)", ₹ 498.00,₹ 230.00,34,16,8,18,23
https://www.amazon.in/Acceptives-Fashions-Cycling-Pollution-Protection/dp/B07L5GFKR4,facemasks,B07L5GFKR4,Vocado Bike Riding and Cycling Anti Pollution Dust Half Ninja Face Cover Mask (Black), ₹ 199.00,₹ 89.00,24,11,14,19,31
https://www.amazon.in/BISMAADH-BSIMAADH-Cycling-Running-Hiking/dp/B08817JXJ7,facemasks,B08817JXJ7,"BISMAADH BSIMAADH Face Mask Pro+ for Bike, Ski, Cycling, Running, Hiking - Protects from Wind, Sun, Dust - 4 Way Stretch - Face Protection Balaclavas", ₹ 599.00,₹ 275.00,15,7,9,19,51
https://www.amazon.in//Suraj-Metals-Cycling-Pollution-Protecion/dp/B078SNSBTF?dchild=1,facemasks,B078SNSBTF,Vocado Bike Riding & Cycling Anti Pollution Dust Sun Protecion Half Ninja Face Cover Mask (Black), ₹ 299.00,₹ 139.00,34,8,17,13,29
https://www.amazon.in//Biotique-Fruit-Whitening-Depigmentation-Types/dp/B00791CPWO?dchild=1,facemasks,B00791CPWO,"Biotique Bio Fruit Whitening And Depigmentation & Tan Removal Face Pack, 75g", ₹ 199.00,₹ 136.00,7,5,13,28,47
https://www.amazon.in//Autoridez-Pollution-Protection-Bikers-Black/dp/B07JD39D8X?dchild=1,facemasks,B07JD39D8X,"PrimeBox Men's Anti Pollution Dust Protection Face Mask for Bikers (Black, Free Size)", ₹ 399.00,₹ 100.00,22,9,12,18,39
https://www.amazon.in//BAGHADBILLO-Cotton-Pollution-Protection-Filtering/dp/B08B8WD6G4?dchild=1,facemasks,B08B8WD6G4,"BAGHADBILLO Cotton double layered Reusable Cotton Mouth Nose Face Mask, Anti Pollution Bike/Scooter Driving Protection for Filtering The Air, Free Size (White 1 Pack of 5)"," ₹ 2,999.00",₹ 249.00,36,10,16,16,22
https://www.amazon.in//Marcloire-certified-5-Layered-Protection-Multi-Color/dp/B08CC9SL5C?dchild=1,facemasks,B08CC9SL5C,Marcloire Standard Size Adult ISO CE certified Reusable/Washable 5-Layered Outdoor Protection Face Mask with Improved Ear Loops for Men/Women(Pack of 3) (Multi-Color), ₹ 599.00,₹ 399.00,18,30,18,18,18
https://www.amazon.in/Collectible-India-Pollution-Dustproof-Reusable/dp/B089B7HCDP,facemasks,B089B7HCDP,Collectible India Men's and Women's Cotton Anti Pollution Dustproof/Block Print Reusable Washable Face Mask - Pack of 4, ₹ 599.00,₹ 158.00,47,13,3,15,22
https://www.amazon.in//Autofy-Unisex-Pollution-Disposable-Washable/dp/B0868T4QWD?dchild=1,facemasks,B0868T4QWD,Autofy SET OF 3 Unisex Anti Pollution Disposable Washable Face Mask For Men Women (Black), ₹ 599.00,₹ 164.00,34,12,8,8,39
https://www.amazon.in/YAPZONE-Beautiful-Supreme-logo-printed/dp/B08CNQ3K8F,facemasks,B08CNQ3K8F,YAPZONE Beautiful Supreme logo printed face mask, ₹ 299.00,₹ 139.00,0,0,0,0,0
https://www.amazon.in/Standard-Certified-Reusable-4-Layered-Protection/dp/B08CVM7PZT,facemasks,B08CVM7PZT,One8 Select By Virat Kohli 3D Mesh Mask Made in India Standard Size CE Certified Reusable/Washable 4-Layered Outdoor Protection Face Mask (Pack of 3)(Black), ₹ 499.00,₹ 399.00,50,0,0,0,50
https://www.amazon.in//womaniyaweb-Washable-Anti-dust-Windproof-Protective/dp/B0892LMFWX?dchild=1,facemasks,B0892LMFWX,womaniyaweb Unisex Cartoon Masks Washable Cotton Mask Anti-dust Reusable Black Mouth Mask Outdoor Health Windproof Protective Face Mask (3 piece), ₹ 599.00,₹ 215.00,0,0,0,0,0
https://www.amazon.in//N95-MS-6-10Pollution-Respirator-Pollution-Breathable-Protection/dp/B08FH77MH5?dchild=1,facemasks,B08FH77MH5,Paidu® N95-MS-6-10Pollution mask washable reusable N95 mask washable Respirator Pollution Breathable KN95 mask Face Mask for Men Women Kids 5 Layers Protection with melt Blown Fabric (Pack of 5unit)," ₹ 1,999.00",₹ 319.00,0,0,0,0,0
https://www.amazon.in//BLAZZE-Anti-Dust-Pollution-Reusable-Washable/dp/B088TF2ZHJ?dchild=1,facemasks,B088TF2ZHJ,THE BLAZZE 2002 Women Anti-Dust Anti Pollution Reusable Washable Wind and Dust Proof Safety Dual Filter Face Mouth Mask (Black), ₹ 399.00,₹ 199.00,29,21,0,37,13
https://www.amazon.in//Women-Rider-Protect-Pollution-White/dp/B07RD88537?dchild=1,facemasks,B07RD88537,Men and Women face mask for Bike Rider Protect from Pollution on Road White, ₹ 499.00,₹ 124.00,0,0,0,0,0
https://www.amazon.in/Amazon-Brand-Symbol-cotton-SMK-03-PO3-J_Multicoloured_One/dp/B08BS2TR5Z,facemasks,B08BS2TR5Z,Amazon Brand - Symbol Men's cotton Cloth Face Mask (Pack of 5) (SMK-03-PO3-J_Multicoloured_One Size), ₹ 399.00,₹ 329.00,0,0,18,18,64
https://www.amazon.in//GeekTitan-Anti-Pollution-Disposable-Surgical-Medical/dp/B086KZPHR4?dchild=1,facemasks,B086KZPHR4,GeekTitan 3 PLY Anti-Pollution Disposable Surgical Medical Earloop Face Mouth Masks (50pc), ₹ 800.00,₹ 299.00,0,0,0,0,0
https://www.amazon.in//Acceptives-Bandana-Motorcycle-Protection-Colours/dp/B07MP7D5WK?dchild=1,facemasks,B07MP7D5WK,"Acceptive's Bandana Bikers Motorcycle Riding Neck Face Mask Protection Tube Head Bands (Pack of 5,Random Colours)", ₹ 499.00,₹ 276.00,14,8,18,25,35
https://www.amazon.in//ProCare-Protect-Face-Charge-Certified/dp/B08CSVHFHL?dchild=1,facemasks,B08CSVHFHL,"ProCare Protect N95 Face Mask (by Charge Zero) CE Certified ISO 9001:2015 Certified, Special Anti-Bacterial Mask (Washable, Unisex) (Pack of 5) (Multicolour N95 Face Mask with Respiratory Valve)", ₹ 599.00,₹ 192.00,20,5,6,21,48
https://www.amazon.in//Shocknshop-Multicolor-Printed-Reusable-Washable/dp/B08D6T2KVK?dchild=1,facemasks,B08D6T2KVK,Shocknshop Cotton Multicolor Printed Reusable And Washable Face Mask - Pack of 3, ₹ 899.00,₹ 299.00,21,21,0,22,36
https://www.amazon.in//YAPZONE-Psyduck-pokemon-professional-printed/dp/B08CPG4DLL?dchild=1,facemasks,B08CPG4DLL,YAPZONE Psyduck pokemon professional look like a doctor printed face mask for kids, ₹ 299.00,₹ 139.00,0,0,0,0,0
https://www.amazon.in//DR-Respirator-Reusable-Droplets-Pollution/dp/B08DD88FCQ?dchild=1,facemasks,B08DD88FCQ,"DR VAKU® KN95 Filter Respirator Face Mask, Reusable to Protect Mouth Droplets, Dust and Pollution (Pack of 1)", ₹ 499.00,₹ 40.00,33,0,0,20,47
https://www.amazon.in/SNDIA-Mask-Multifunctional-Festivals-Outdoors/dp/B07C1YM87P,facemasks,B07C1YM87P,SNDIA Unisex Bandana Face Mask Protection for Bikers (4-PACK), ₹ 399.00,₹ 249.00,27,12,14,20,27
https://www.amazon.in//COTTON-FIELD-Face-Mask-12/dp/B08C5BJKGT?dchild=1,facemasks,B08C5BJKGT,"COTTON FIELD UV Face Mask - Neck Gaiter for Dust & Sun Protection - Face Cover/Scarf forOutdoor/indoor, Travelling - UPF 30 Breathable Summer 12-in-1 Headwear (Pack Of 2) (Black)", ₹ 599.00,₹ 330.00,0,0,0,0,0
https://www.amazon.in//Plum-Green-Clear-Face-Mask/dp/B00OCJ5SW0?dchild=1,facemasks,B00OCJ5SW0,"Plum Green Tea Clear Face Mask (60gm), For Oily & Acne Prone Skin, Vegan Skin Care", ₹ 490.00,₹ 367.00,8,5,13,24,49
https://www.amazon.in//dp/B08FTFBH8Y?dchild=1,facemasks,B08FTFBH8Y,RSM 5 Layers Antibacterial KN95 Safety Mask With Air Filter-Reusable (Pack of 4), ₹ 349.00,₹ 170.00,0,0,0,0,0
https://www.amazon.in//Bella-Vita-Organic-Animal-Natural/dp/B07TGDTXPW?dchild=1,facemasks,B07TGDTXPW,"Bella Vita Organic Mini Vegan Face Pack Brush For Face Mask For Women & Men, 2 Pack, No Animal Hair With Natural Wooden Handle", ₹ 499.00,₹ 199.00,8,5,9,25,54
https://www.amazon.in//BROCCOLIN-Anti-Pollution-Cotton-designing-Girls/dp/B089RMLW9T?dchild=1,facemasks,B089RMLW9T,BROCCOLIN New Anti-Pollution Dust Cotton designing hand work Face Mask For Girls (Set Of 4), ₹ 599.00,₹ 399.00,0,14,22,14,50
https://www.amazon.in//Select-Reusable-Washable-Outdoor-4-Layered/dp/B08CK9NTGL?dchild=1,facemasks,B08CK9NTGL,one8 Select Shield Reusable & Washable Outdoor 4-Layered 3D Mesh Face Mask – Pack of 3 (Assorted)/ Made in India/Standard Size/CE Certified, ₹ 499.00,₹ 399.00,51,0,0,0,49
https://www.amazon.in//DR-Anti-Dust-Breathable-Protective-Protection/dp/B08DFY3SQW?dchild=1,facemasks,B08DFY3SQW,DR VAKU® N95 Face Mask Anti-Dust Breathable Protective Mask with 5- Layer Filter for Adults Men Women 5 Layer Protection Face Mask (Pack of 1), ₹ 499.00,₹ 37.00,0,0,27,27,45
https://www.amazon.in//Cute-Critters-Motorcycle-Protection-Breathable/dp/B0895LBWCF?dchild=1,facemasks,B0895LBWCF,"Cute Critters Skull Face Mask Bandana, Motorcycle Face Mask for Men Women, Skeleton Half Face Mask Sun UV Dust Wind Protection Breathable Rave Face Scarf Neck Gaiter for Biker Riding (Set of 2)", ₹ 609.00,₹ 279.00,0,0,0,0,0
https://www.amazon.in//Gadgets-Appliances-Filter-Random-shipped/dp/B088FW9KTF?dchild=1,facemasks,B088FW9KTF,Gadgets Appliances Filter Face Mask Random Color will be shipped Pack Of 2, ₹ 499.00,₹ 211.00,64,0,18,18,0
https://www.amazon.in//India-Store-Mart-Reusable-Mask-Pack/dp/B08D8MK1NT?dchild=1,facemasks,B08D8MK1NT,India Store Mart Unisex Reusable 2 layer Black Outdoor Face Mask-Pack of 3, ₹ 199.00,₹ 99.00,0,0,0,0,0
https://www.amazon.in/Gadgets-Appliances-Safety-Disposable-White/dp/B087ZZVQM6,facemasks,B087ZZVQM6,"Gadgets Appliances Safety Mask KN95 Disposable Mask, Anti Dust Face Mask White (Pack of 3)", ₹ 499.00,₹ 199.00,0,0,0,0,0
https://www.amazon.in//MFASCO-Biohazard-PPE-Kit-Disposable/dp/B01F5XBP6Y?dchild=1,ppe,B01F5XBP6Y,MFASCO Biohazard PPE Kit Disposable, ₹ 780.00,₹ 253.00,19,13,20,18,30
https://www.amazon.in//NJ-Washable-water-repellent-Disposable-Suitable/dp/B088DZ3N4N?dchild=1,ppe,B088DZ3N4N,"NJ Washable PPE Kit, 100% water-repellent PPE Kit, Face shield 12x9 Inches, Washable mask, Disposable gloves,Goggle, Suitable for daily use (BLUE): 6 Items"," ₹ 2,000.00",₹ 296.00,0,0,0,0,0
https://www.amazon.in//DALUCI-Safety-Protection-Polyester-Material/dp/B08B5VHS2X?dchild=1,ppe,B08B5VHS2X,DALUCI PPE Safety Kit for Body Protection Cotton Polyester Blend Material - 90 GSM, ₹ 999.00,₹ 449.00,0,0,0,0,0
